Timestamp,Node_ID,Voltage_V,Current_A,Load_kW,Temperature_C,Power_Factor,Energy_Output_kWh,Fault,Failure_Risk
2025-01-01 00:00:00,N046,227.57,7.44,1.64,32.98,0.9,0.136,0,0.051
2025-01-01 00:05:00,N024,224.32,3.88,0.74,30.79,0.94,0.061,0,0.01
2025-01-01 00:10:00,N026,228.05,7.32,1.62,31.39,0.94,0.134,0,0.051
2025-01-01 00:15:00,N012,226.24,14.76,3.23,36.58,0.94,0.268,0,0.027
2025-01-01 00:20:00,N023,230.26,14.47,3.36,36.08,0.95,0.279,0,0.038
2025-01-01 00:25:00,N049,235.58,7.14,1.7,34.2,0.93,0.141,0,0.024
2025-01-01 00:30:00,N012,229.0,18.21,4.23,38.74,0.93,0.351,0,0.05
2025-01-01 00:35:00,N022,237.96,3.55,0.87,30.53,0.98,0.072,0,0.048
2025-01-01 00:40:00,N008,222.06,4.72,1.07,31.87,0.97,0.089,0,0.04
2025-01-01 00:45:00,N026,227.08,6.36,1.5,33.23,0.96,0.124,0,0.052
2025-01-01 00:50:00,N015,229.75,13.18,3.05,35.34,0.98,0.253,0,0.042
2025-01-01 00:55:00,N009,230.66,19.61,4.51,38.27,0.96,0.374,0,0.051
2025-01-01 01:00:00,N034,220.41,4.67,1.1,30.41,0.95,0.091,0,0.007
2025-01-01 01:05:00,N035,220.62,15.03,3.27,35.91,0.93,0.272,0,0.022
2025-01-01 01:10:00,N015,238.79,12.51,2.9,33.8,0.98,0.241,0,0.016
2025-01-01 01:15:00,N012,229.57,15.89,3.71,37.3,0.93,0.308,0,0.02
2025-01-01 01:20:00,N014,232.4,10.92,2.6,36.48,0.92,0.216,0,0.029
2025-01-01 01:25:00,N042,226.46,13.28,3.04,39.24,1.0,0.252,0,0.063
2025-01-01 01:30:00,N046,231.01,12.19,2.72,34.46,0.92,0.226,0,0.022
2025-01-01 01:35:00,N049,224.46,15.17,3.42,34.85,0.96,0.284,0,0.033
2025-01-01 01:40:00,N019,225.14,3.1,0.85,32.27,0.96,0.071,0,0.022
2025-01-01 01:45:00,N008,235.53,12.88,2.91,35.99,0.98,0.241,0,0.053
2025-01-01 01:50:00,N044,230.95,2.41,0.52,32.5,0.92,0.043,0,0.021
2025-01-01 01:55:00,N050,227.11,19.94,4.56,38.45,0.93,0.378,0,0.058
2025-01-01 02:00:00,N006,229.98,15.58,3.46,37.36,0.96,0.287,0,0.048
2025-01-01 02:05:00,N037,229.95,6.53,1.48,34.27,0.97,0.123,0,0.015
2025-01-01 02:10:00,N035,230.69,12.98,3.03,33.52,0.97,0.251,0,0.057
2025-01-01 02:15:00,N022,236.05,11.37,2.65,36.63,0.91,0.22,0,0.049
2025-01-01 02:20:00,N018,230.88,9.24,2.06,36.05,0.98,0.171,0,0.014
2025-01-01 02:25:00,N003,229.95,4.85,1.26,31.72,1.0,0.104,0,0.041
2025-01-01 02:30:00,N003,222.5,4.78,1.05,33.81,0.93,0.087,0,0.057
2025-01-01 02:35:00,N032,237.14,18.1,4.25,38.45,0.92,0.353,0,0.049
2025-01-01 02:40:00,N048,240.75,15.8,3.76,35.85,0.94,0.312,0,0.053
2025-01-01 02:45:00,N036,230.13,11.72,2.75,34.86,0.97,0.228,0,0.048
2025-01-01 02:50:00,N033,218.42,9.11,1.93,33.75,1.0,0.161,0,0.028
